"id";"name";"banner_url"
"1";"programming";"www.banner1.com"
"10";"myChannel10";"www.banner10.com"
"11";"myChannel11";"www.banner11.com"
"12";"myChannel12";"www.banner12.com"
"13";"myChannel13";"www.banner13.com"
"14";"myChannel14";"www.banner14.com"
"15";"myChannel15";"www.banner15.com"
"16";"myChannel16";"www.banner16.com"
"2";"science";"www.banner2.com"
"3";"cs157A";"www.banner3.com"
"4";"cs157B";"www.banner4.com"
"5";"cs157C";"www.banner5.com"
"6";"myChannel6";"www.banner6.com"
"6ca294f4-2c66-4524-afde-4a30aed2f254";"cs9001";"www.bannertest.com"
"7";"myChannel7";"www.banner7.com"
"8";"myChannel8";"www.banner8.com"
"9";"myChannel9";"www.banner9.com"
