"channel_id";"post_id"
"1";"2"
"1";"4"
"1";"5"
"2";"3"
"2";"6"
"4";"1"
"5";"7"
"7";"8"
"8";"9"
"10";"10"
"11";"11"
"12";"12"
"7";"13"
"13";"14"
"7";"15"
"3";"57dc38f2-cf48-426f-afa2-f683c1c75c7d"
"1";"587b33ca-ad10-403f-abd5-571e386d876a"
"2";"a6f93f27-28e7-40b6-a87d-6730e1265ef3"
"2";"22d8c759-ba39-457e-8ec7-f93d0f39f0b5"
"2";"801887ac-2856-400b-b94b-d78da19c4298"
"2";"755787b9-1729-4521-81cc-ebaee99b5f97"
"2";"ee5e26ff-f87b-444e-91df-56f04d1dab32"
"2";"debfdde0-96c5-462a-b4bc-e09dc4b0eaf1"
"1";"503279c8-72e0-4279-882b-01ea7608e518"
"1";"2484ac1b-0aa4-4948-b053-f62d96d08182"
"7";"850d15f0-45e9-4c82-b7b0-4b95f8af3458"
"7";"b075066c-6644-441c-8968-e4fccb97b040"
"7";"a2db7f6f-b67c-47ba-89e2-ad4dafff134f"
"7";"b15744a1-7bcf-4f2f-b896-ecd0398df336"
"7";"34c15968-6b29-474e-ac5d-b688603aae3a"
"7";"0216a66e-2cb9-4977-ab2a-9b74af824d92"
"7";"36a04a2e-f517-4726-863f-9a381505769f"
"7";"9b558ee6-c04e-4ccb-9070-5f8af4be84ef"
"7";"7822d835-b0de-418f-a1f9-7876c39c80ef"
"7";"09c33eed-13b0-46db-941b-509fec766068"
"2";"88241fb9-35c8-4113-9f65-b5f300ef3486"
"7";"4028c265-d54b-4026-9342-88327a6dc7bd"
"7";"da4bcd19-8810-43d3-a3c6-44b42fbd0c67"
"7";"b92d47e4-17e7-44cb-9e59-d03a167e40a6"
"2";"9e5816ad-0cb0-4f52-af90-96ca5992449a"
"2";"2874ae82-c883-45dc-ba50-4a3101bbc69f"
"10";"cdda7357-8d22-456f-940e-d91521f90246"
"2";"0bfee067-c727-4970-b896-e299da229efe"
"2";"8ee4806d-65f8-44a4-967a-61b0ff7d254a"
"2";"049f815c-5108-4418-ac5b-bf40b69b2981"
"2";"f2f1f7a9-87d1-4423-b2ba-be19d2a9a75b"
